RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1020,15600583,Garner,633,France,Male,31,1,0,1,1,0,4860671,0
1021,15654673,Onyinyechukwuka,625,France,Male,49,6,1734349,1,1,0,16558093,1
1022,15717164,Genovese,485,Spain,Male,32,6,10223801,2,1,1,19401012,0
1023,15765014,Mai,547,France,Female,48,1,17938074,2,0,1,692631,0
1024,15682639,Marshall,642,France,Male,32,3,0,2,1,1,8869883,0
1025,15729279,Naylor,718,France,Female,25,4,10869195,1,1,0,6303097,0
1026,15759805,Pinto,582,France,Female,32,4,0,2,1,0,5966881,0
1027,15767864,Fulton,628,France,Male,33,6,0,2,0,0,18423023,0
1028,15769948,Palerma,737,Germany,Male,35,0,1333778,1,0,1,6405019,0
1029,15686345,McCaffrey,828,Spain,Male,34,9,0,2,1,1,8185398,0
1030,15688071,Collins,609,Spain,Male,53,10,0,1,1,1,15464291,0
1031,15681174,Zuev,730,France,Male,39,1,1165376,1,0,0,1456796,0
1032,15667521,Crawford,631,France,Female,22,3,0,2,0,0,3078177,0
1033,15750243,Genovese,830,Spain,Male,40,4,0,2,0,1,8162252,0
1034,15695475,Maclean,645,France,Male,29,1,13013108,2,0,1,19647435,0
1035,15689176,Fabro,663,France,Male,46,3,0,2,0,1,1762761,0
1036,15652955,Price,678,Spain,Male,30,0,0,1,1,0,3511308,0
1037,15668958,Chatfield,521,France,Male,30,2,10731609,1,1,0,6429982,0
1038,15631054,Volkova,625,France,Female,24,1,0,2,1,1,18096955,0
1039,15581479,Archer,523,France,Male,30,1,8318129,1,1,1,13817678,0
1040,15577478,Ch'iu,714,France,Female,72,3,0,1,1,1,8673361,0
1041,15780870,McKay,580,Spain,Male,67,3,15394614,1,1,1,741892,0
1042,15692317,Craig,722,France,Male,30,5,0,2,1,0,16637654,0
1043,15593969,Abramovich,630,Spain,Female,39,7,13548317,1,1,0,1408812,1
1044,15570417,Chien,579,France,Male,35,1,0,2,1,0,44602,0
1045,15779059,Timms,670,France,Female,38,4,11962454,2,1,1,11047212,0
1046,15785980,Williford,588,Spain,Male,34,6,12113226,2,1,0,8646028,0
1047,15644200,Hamilton,807,Spain,Female,42,1,0,1,1,0,1650066,1
1048,15793949,Cheng,726,France,Female,48,4,0,1,1,0,11402006,1
1049,15645103,Su,812,Germany,Male,25,5,5481755,1,1,0,13166031,0
1050,15705860,McKenzie,631,Germany,Male,40,3,10794945,1,1,0,5244962,1
1051,15623828,Akobundu,682,France,Male,30,4,0,1,0,1,16146531,0
1052,15715003,Ko,625,Spain,Female,49,2,8081645,1,1,1,2001879,0
1053,15623471,Marcelo,607,Germany,Male,38,3,9820577,1,1,0,17631827,0
1054,15798348,Chukwuebuka,600,Spain,Female,50,6,9468427,1,1,1,5048891,0
1055,15743016,MacDonald,602,Spain,Female,22,7,14160476,1,1,0,303796,0
1056,15769499,Lampungmeiua,545,Spain,Female,74,3,0,2,1,1,16132673,0
1057,15798521,Tai,675,Spain,Male,33,3,0,2,1,0,4534808,0
1058,15706534,Enyinnaya,581,France,Female,47,1,12294914,1,0,0,18025168,1
1059,15706186,McKenzie,640,Germany,Male,33,8,8167722,2,0,0,3492556,0
1060,15812197,Kline,850,France,Male,38,7,8029398,1,0,0,12655574,0
1061,15650933,Ma,490,Spain,Female,48,8,15541306,1,1,0,1879213,0
1062,15692991,Wood,710,Spain,Female,38,4,0,2,1,1,13639088,0
1063,15631189,Riggs,613,Germany,Male,38,9,6711165,1,1,0,7856664,1
1064,15762198,Capon,812,France,Male,34,5,10381843,1,1,1,16603827,0
1065,15699598,Smith,723,France,Female,20,4,0,2,1,1,14038533,0
1066,15692744,Davison,512,France,Male,36,4,15216912,2,0,0,386293,1
1067,15688963,Ingram,731,France,Female,52,10,0,1,1,1,2499875,1
1068,15599131,Dilke,650,Germany,Male,26,4,21434696,2,1,0,12881533,0
1069,15680303,Gibson,594,France,Male,57,6,0,1,1,0,1937656,1
1070,15628674,Iadanza,844,France,Male,40,7,11334814,1,1,0,3190431,1
1071,15648075,Hebert,686,Germany,Female,47,5,17093594,1,1,0,17317979,1
1072,15586970,Pinto,695,Germany,Male,52,8,10302326,1,1,1,2248564,0
1073,15625698,Dumetochukwu,624,Spain,Female,23,6,0,2,0,1,19666851,0
1074,15790497,Ross,503,Spain,Male,37,6,0,2,0,0,13650686,0
1075,15682618,Jamieson,535,France,Female,31,7,11185504,2,1,1,3627889,0
1076,15762937,Chiganu,743,Germany,Female,32,6,14034856,2,1,1,16325439,0
1077,15750929,Burgess,702,Spain,Male,39,8,0,2,1,0,9965413,0
1078,15729832,Cheng,658,France,Male,29,3,14551284,1,1,0,2020702,0
1079,15633650,Woods,677,Germany,Female,41,8,14672098,2,1,1,419584,0
1080,15748856,Liang,664,France,Male,32,10,10720973,1,1,1,1123402,0
1081,15589195,Bluett,766,Germany,Female,38,7,13093374,1,0,1,203594,0
1082,15699911,Chapman,461,Spain,Female,35,8,0,1,1,0,13229595,0
1083,15663438,Andrejew,688,Spain,Male,36,0,897723,1,1,0,17738368,1
1084,15692583,Udobata,678,France,Female,32,5,0,2,1,0,9028447,0
1085,15591257,Ejimofor,796,France,Male,24,8,0,2,1,0,6134937,0
1086,15646513,Spyer,803,France,Male,42,5,0,1,1,0,19646683,1
1087,15708063,Walker,712,France,Male,36,2,1007495,3,0,0,7075837,1
1088,15696098,Palermo,498,France,Female,31,10,0,2,1,0,1389257,0
1089,15645517,Philip,850,Spain,Male,22,2,0,2,1,1,968452,0
1090,15649744,Fallaci,628,France,Female,51,3,12398131,2,1,1,4054615,0
1091,15604304,Perry,539,Germany,Female,34,4,9162242,1,1,1,13660342,0
1092,15784092,Henderson,732,France,Male,36,7,12619581,1,1,1,13317248,0
1093,15585198,Bergamaschi,715,France,Male,41,4,942679,1,0,1,15282112,1
1094,15624347,Fokine,651,France,Male,40,4,0,2,1,1,14771583,0
1095,15621687,Mackay,813,France,Male,34,0,0,2,1,0,4316915,0
1096,15689081,Wu,692,France,Male,29,4,0,1,1,0,7675599,1
1097,15813168,Maslova,756,Germany,Female,39,3,10071785,3,1,1,7340604,1
1098,15604295,Wei,543,France,Male,36,6,0,2,1,0,17672828,0
1099,15724127,McLean,790,France,Female,26,4,14158171,2,0,0,9830927,0
1100,15673055,Sung,494,Spain,Male,38,7,0,2,1,1,620366,0
1101,15768201,Paterson,850,France,Female,39,2,14858664,1,1,1,17679127,0
1102,15782219,Fanucci,703,Spain,Male,29,9,0,2,1,0,5067948,0
1103,15746410,Thompson,432,Spain,Male,38,7,0,2,1,0,15058088,0
1104,15780144,Tisdall,512,Germany,Female,32,2,12340385,2,1,0,8012019,0
1105,15590476,Onochie,589,France,Male,28,7,0,2,1,0,15164596,0
1106,15624293,Mironova,514,France,Female,46,3,10651185,1,1,0,5507232,0
1107,15618182,Ndubueze,678,France,Female,38,2,0,2,0,0,11506899,0
1108,15660316,Stephenson,420,Germany,Female,34,1,1355499,1,0,0,14947113,1
1109,15678886,Golubev,679,Germany,Male,38,7,11055537,2,1,0,4652268,0
1110,15616330,Liao,595,France,Male,31,4,0,2,1,0,18999586,0
1111,15592229,Mullan,713,France,Female,52,0,18589154,1,1,1,4636957,1
1112,15798424,Glover,833,Germany,Male,59,1,13085459,1,1,1,3072252,1
1113,15714750,Northey,690,France,Female,42,3,9257814,2,0,0,708106,0
1114,15648800,Paterson,731,Germany,Female,21,8,13231206,1,1,0,10666346,1
1115,15626147,Maclean,608,France,Female,62,8,1449765,1,0,0,17583603,1
1116,15626608,Howarde,479,Spain,Male,48,5,8707023,1,0,1,8564641,0
1117,15723250,Teng,519,France,Male,42,8,0,2,1,1,10148572,0
1118,15592583,Colman,731,France,Female,47,1,11541419,3,0,0,19173467,1
1119,15759381,Johnson,617,Spain,Male,61,7,9107043,1,1,1,10183977,0
1120,15585241,Butcher,756,Spain,Male,29,2,11741219,2,1,0,488891,0
1121,15589358,Stanley,848,Germany,Male,31,4,9001845,2,1,0,19313298,0
1122,15672704,Jackson,809,France,Female,24,4,0,2,1,0,19351876,0
1123,15789955,Hu,698,Germany,Male,56,1,11241481,2,0,0,9398202,1
1124,15596800,Hill,779,Germany,Male,33,1,15845676,1,1,1,19700092,1
1125,15627305,Pan,606,Spain,Male,35,7,0,1,1,0,10683706,1
1126,15645316,Han,612,Germany,Female,58,1,14964153,1,1,1,11516128,0
1127,15593973,Wilkie,663,Spain,Female,33,8,12252818,1,1,0,1962603,0
1128,15647301,Bray,549,Germany,Female,45,3,14373401,2,1,1,9640438,0
1129,15750258,Ann,675,France,Female,32,2,15566331,1,1,0,9765866,0
1130,15685309,Souter,669,France,Female,35,7,0,1,1,1,4910823,1
1131,15628205,Greco,571,Germany,Female,34,1,10173666,1,0,1,19565166,0
1132,15733974,Mao,500,Spain,Male,37,9,12582221,1,1,0,111698,0
1133,15762110,Anderson,628,France,Male,37,0,0,2,1,1,17170793,0
1134,15706899,Ma,559,France,Male,34,4,0,2,1,1,6672198,0
1135,15732660,Black,769,France,Female,27,2,0,1,1,1,5787605,0
1136,15656121,Medvedeva,733,Germany,Male,31,6,15779107,2,0,0,17799481,0
1137,15614220,Benson,750,France,Male,22,5,0,2,0,1,10512565,0
1138,15645269,Duncan,583,France,Female,42,4,0,2,1,0,1743966,0
1139,15698510,Onwudiwe,468,Germany,Male,42,9,18162714,2,1,0,17266839,0
1140,15569247,Mitchell,727,Spain,Female,57,1,10967972,1,0,1,75337,0
1141,15566251,Ferrari,618,France,Female,37,5,9665286,1,1,0,986864,1
1142,15716134,Russo,617,France,Male,40,5,19000832,2,1,1,10704792,0
1143,15763625,Hazon,793,Spain,Male,41,9,0,2,1,0,15215374,0
1144,15605965,Henderson,630,France,Male,43,9,0,2,1,1,3433804,0
1145,15694821,Hardy,765,Germany,Male,43,4,14896276,1,0,1,17387887,1
1146,15601688,Piccio,546,France,Male,28,8,0,1,1,0,15925429,0
1147,15575581,Dickson,614,Germany,Female,30,3,13134452,2,1,0,5477664,0
1148,15671209,Holden,593,Germany,Female,29,5,10171384,3,1,0,13459499,0
1149,15616529,Hsieh,613,Spain,Male,34,3,0,1,1,1,4172472,0
1150,15773906,Doherty,655,France,Male,38,4,0,2,0,0,11052771,0
1151,15722993,Page,700,France,Female,27,6,13796307,1,0,0,899679,0
1152,15752463,Samuel,826,Spain,Female,29,4,12993807,1,0,1,19020053,0
1153,15589754,Malloy,652,Germany,Male,45,2,15142144,1,0,1,11533343,0
1154,15669899,Fitts,755,Germany,Female,45,7,135643,1,0,0,14361952,1
1155,15766887,Iadanza,538,Spain,Male,39,2,1227735,2,1,1,5846708,0
1156,15768006,Wu,729,France,Male,34,3,1523038,1,1,0,1212869,0
1157,15741295,Yefimova,615,France,Male,49,3,0,2,1,1,4987233,0
1158,15811327,Pan,700,Spain,Male,54,1,7941567,1,0,1,13973554,0
1159,15690007,Ts'ui,434,Germany,Female,58,9,12580103,2,1,0,608918,1
1160,15690664,Liang,729,Spain,Male,37,10,0,2,1,0,10086254,0
1161,15719348,Tsao,513,France,Male,35,8,0,1,1,0,7664029,1
1162,15781802,Abramov,755,France,Male,41,6,10481741,1,1,0,12601358,1
1163,15752731,Millar,615,France,Female,30,9,0,1,1,0,8734782,0
1164,15600997,Demuth,747,Germany,Female,32,5,6749504,2,0,1,7737037,0
1165,15750776,Genovese,850,France,Female,36,0,16485054,1,1,1,6272244,0
1166,15723907,Lawless,712,Germany,Female,49,5,15477642,2,0,0,19625768,0
1167,15633419,Brooks,622,Germany,Female,28,1,14312463,2,1,0,817238,0
1168,15702430,Ignatyeva,548,France,Female,35,10,0,1,1,1,3129971,0
1169,15710456,Balmain,607,France,Female,27,2,0,2,1,0,6349586,0
1170,15650351,Millar,653,France,Female,38,8,10213338,1,1,1,16652096,0
1171,15590820,Ecuyer,699,Spain,Male,26,6,7993241,1,0,0,15024244,0
1172,15640454,Parkhill,693,Germany,Male,40,0,12071173,1,0,0,2734518,1
1173,15697789,Li Fonti,647,Germany,Female,43,3,12271753,2,1,1,8700039,0
1174,15808182,Beneventi,478,Spain,Female,36,3,923633,2,1,0,449127,0
1175,15588670,Despeissis,705,Spain,Female,40,5,20371515,1,1,0,17997868,1
1176,15721292,Atkins,719,Spain,Male,39,5,0,2,1,0,1457597,0
1177,15604217,Williams,726,France,Male,34,9,0,2,0,0,1412161,0
1178,15651369,Wright,626,France,Male,21,1,0,2,1,0,6623223,0
1179,15782454,Hancock,552,France,Male,49,4,0,1,1,1,19029676,1
1180,15814032,Hsieh,807,Germany,Female,31,1,9346047,2,0,0,17278269,0
1181,15570326,Wilkins,621,France,Male,34,6,0,2,1,1,9912813,0
1182,15624428,Longo,651,Germany,Female,24,7,402247,1,1,1,17834133,0
1183,15755638,Mancini,673,France,Female,43,5,16806973,1,1,1,14699224,1
1184,15600992,Madukaego,652,France,Male,36,1,0,2,1,1,15131498,0
1185,15755649,Winter-Irving,584,Germany,Male,47,7,13053877,1,1,0,9291584,0
1186,15795228,Stewart,756,France,Male,37,3,1326236,1,1,1,58974,0
1187,15589257,Grant,670,France,Female,35,3,10346502,2,1,1,17462706,0
1188,15719302,Brennan,765,France,Female,50,9,1265478,1,1,1,7957994,1
1189,15639882,She,528,France,Male,30,2,12826272,2,1,0,5077116,0
1190,15791279,Murray,701,France,Male,40,5,16974264,1,1,1,15353755,1
1191,15636935,Rischbieth,797,France,Female,29,1,0,2,1,1,13297539,0
1192,15686909,Lung,639,Germany,Male,27,3,15079581,1,0,1,8520893,0
1193,15589572,Otutodilichukwu,785,Spain,Female,61,4,12985572,2,1,0,17021482,1
1194,15779947,Thomas,363,Spain,Female,28,6,14609843,3,1,0,10061514,1
1195,15573769,Fiorentini,764,France,Female,24,7,0,2,1,0,18610599,0
1196,15578866,Hughes,676,France,Female,43,2,0,1,1,1,5511953,0
1197,15739131,Whitworth,718,Germany,Male,28,4,656433,1,1,0,2876099,0
1198,15813444,McIntosh,590,Spain,Female,34,6,0,2,1,0,17102144,0
1199,15678058,Ayers,584,France,Male,38,9,10458416,1,1,0,17667872,0
1200,15769169,Trentino,645,France,Male,41,7,0,1,0,1,2866756,0
1201,15804602,Boyd,772,Germany,Male,30,6,9978528,2,0,0,19723803,0
1202,15651052,McMasters,399,Germany,Male,46,2,12765522,1,1,0,13999468,1
1203,15724334,Alekseyeva,529,France,Male,22,5,0,1,1,0,15116983,0
1204,15569451,Miller,463,France,Male,35,2,10125716,1,1,1,11811364,0
1205,15650098,Baranova,630,France,Female,40,7,0,2,1,1,3445317,0
1206,15724307,Mitchell,780,France,Male,76,10,12131388,1,0,1,6487233,0
1207,15599268,Yobachi,584,Spain,Male,32,5,0,2,1,0,1095682,0
1208,15594864,Huang,752,Germany,Male,30,4,8152338,1,1,1,3688585,0
1209,15616451,Genovese,697,France,Female,47,6,12825266,1,1,1,1680534,0
1210,15715667,Sorokina,850,France,Female,32,7,0,2,0,0,155227,0
1211,15658969,Gray,711,France,Male,51,7,0,3,1,0,3840979,1
1212,15738174,Ervin,452,France,Female,32,5,0,2,0,1,7527939,0
1213,15813590,Vance,610,Spain,Male,42,6,0,2,1,0,15830259,1
1214,15624229,Noble,694,France,Female,22,4,0,2,1,1,1152572,0
1215,15674148,Milanesi,579,Spain,Male,33,6,0,1,1,0,9499304,1
1216,15625080,Parkin,745,Spain,Female,54,8,0,1,1,0,17391229,1
1217,15682528,Cremonesi,572,France,Male,33,5,0,1,0,1,4113905,0
1218,15696900,Burns,505,Germany,Male,29,3,14554156,2,1,1,5801995,0
1219,15730038,Docherty,706,France,Female,23,5,0,1,0,0,16412841,1
1220,15812272,Ugonna,693,Germany,Male,44,5,12460158,2,1,1,4699813,1
1221,15654654,L?,725,Germany,Female,33,7,11518284,2,1,1,17727941,0
1222,15697625,Bevan,791,France,Male,37,2,16378949,2,1,0,7583253,0
1223,15616280,Hsia,536,France,Male,46,1,6573341,1,1,0,6109453,0
1224,15654229,O'Neill,699,Spain,Male,47,1,0,2,0,1,3011744,0
1225,15628298,Johnstone,500,Spain,Female,47,8,12848611,1,1,0,17922712,0
1226,15733387,Pham,707,Spain,Female,53,6,10966347,1,1,1,5211045,0
1227,15775572,Bergamaschi,531,Germany,Female,42,6,8832431,2,1,0,7524875,0
1228,15613844,Murphy,557,France,Female,28,7,14644524,2,1,0,18431774,0
1229,15578515,Osinachi,659,France,Female,38,3,0,2,1,0,1585531,0
1230,15607598,Muravyov,575,Spain,Female,31,6,0,2,1,1,9568642,0
1231,15742480,Igwebuike,775,Germany,Male,36,2,10994905,2,0,1,7168254,0
1232,15749482,Zack,772,Spain,Male,30,4,7865305,1,1,0,179048,0
1233,15607537,Crawford,587,Germany,Male,46,9,10785082,1,1,0,139431,1
1234,15575410,Chidiegwu,667,Germany,Female,39,4,8376535,2,1,0,11835854,0
1235,15684865,Lucchesi,771,France,Female,66,7,14377307,1,1,1,13082788,0
1236,15600700,Pan,523,Germany,Male,63,6,11622727,1,1,1,11940463,0
1237,15774155,Trevisani,662,Germany,Male,33,0,10347152,1,1,1,162703,0
1238,15634267,Yudin,717,France,Male,42,5,0,2,1,0,17266521,0
1239,15619626,Wade,746,France,Male,24,3,13749235,2,0,1,17014209,0
1240,15660422,Chung,569,France,Male,28,7,0,2,1,0,7397723,0
1241,15617934,Septimus,579,France,Male,36,9,12982959,1,1,1,6090612,0
1242,15760774,Hargraves,519,France,Female,21,1,14632957,2,1,1,19486727,0
1243,15813132,Chukwukadibia,696,Germany,Male,30,4,1140277,1,1,1,19371656,0
1244,15593331,Sidorov,693,Germany,Male,25,6,14658069,1,0,1,1463335,0
1245,15616709,Bunton,587,Germany,Female,38,0,13212242,2,0,0,3173032,0
1246,15658052,Cameron,626,France,Female,44,10,8155393,1,1,0,2006363,1
1247,15721189,Kung,666,France,Female,66,7,0,2,1,1,9979282,0
1248,15711288,Hay,512,France,Male,24,6,0,2,1,0,3765431,0
1249,15770030,Conti,689,Spain,Female,28,3,0,2,1,1,19244902,0
1250,15803681,Sims,803,France,Female,26,4,0,2,1,1,18120847,0
1251,15702789,Carter,548,Germany,Male,32,5,17521471,1,1,1,15516561,0
1252,15814930,McGregor,588,Germany,Female,40,10,12553451,1,1,0,12150418,1
1253,15658306,Lo,693,France,Male,68,4,9770599,1,1,1,6156907,0
1254,15699523,Chu,499,Germany,Female,55,4,12681765,2,1,0,12326971,0
1255,15610383,Dumetolisa,628,France,Female,46,1,4687043,4,1,0,3127214,1
1256,15615032,Peng,624,Spain,Male,46,3,0,2,1,1,6282503,0
1257,15781989,Drake-Brockman,733,France,Male,42,9,12009493,1,1,0,18405645,0
1258,15647402,Wan,628,France,Female,38,3,0,2,1,1,4892473,0
1259,15740494,Cameron,633,France,Female,33,3,0,2,1,0,19111102,0
1260,15701265,Tretiakov,559,Germany,Female,36,1,10435694,2,0,1,5418406,0
1261,15743532,Ball,704,Germany,Male,27,5,14700434,1,1,0,6438133,1
1262,15794870,Sal,744,Germany,Male,38,6,7302317,2,1,0,7877086,0
1263,15747591,Chung,665,Spain,Female,40,1,17343255,1,0,1,11676679,0
1264,15726557,Lai,638,France,Female,42,7,16567992,1,0,0,3291629,0
1265,15732199,Gether,837,Spain,Male,31,9,10467862,1,0,1,509726,0
1266,15662291,Davidson,534,France,Female,55,8,11697326,3,1,0,1220665,1
1267,15749050,Justice,548,France,Female,36,3,0,1,1,0,659969,0
1268,15781586,Osonduagwuike,837,Germany,Male,38,2,12673285,1,1,1,7957738,0
1269,15617078,Ewing,658,France,Female,44,6,14848109,1,1,0,13052913,0
1270,15723339,Chin,554,France,Female,38,4,13765405,2,1,1,17262967,0
1271,15671322,Chiang,724,Germany,Male,30,7,11531504,1,1,0,1521653,0
1272,15793854,Ahmed,723,France,Male,42,2,9909573,1,1,1,1751253,0
1273,15756539,Marshall,585,Germany,Female,39,7,16561041,2,0,0,13185201,0
1274,15612064,Tsou,474,France,Male,33,5,0,2,1,0,18194552,1
1275,15625916,Chien,562,Spain,Male,32,6,16162866,1,1,0,914825,0
1276,15683195,Ubanwa,719,France,Male,32,9,14660527,1,1,1,7711945,0
1277,15690182,Kapustin,635,Germany,Male,37,5,11348868,1,1,0,9561174,1
1278,15721719,Calabresi,743,France,Male,42,7,770022,2,1,1,8042842,0
1279,15641690,Hsiao,681,Spain,Male,67,7,0,2,0,1,16371492,0
1280,15634896,Grant,521,France,Female,39,6,0,2,0,1,2737515,0
1281,15671590,H?,741,Spain,Male,25,4,0,2,1,1,7387365,0
1282,15779182,Chia,790,Spain,Male,46,8,18236453,1,0,0,13926648,1
1283,15778287,Ugoji,622,France,Male,35,8,0,2,1,1,13177251,0
1284,15609510,Gregory,669,France,Male,45,7,14936458,1,0,1,17345407,0
1285,15742229,Mackay,583,France,Male,59,7,12745014,1,0,1,6755271,0
1286,15658532,Nnamutaezinwa,520,Spain,Female,63,5,16227832,1,1,1,3476533,0
1287,15590993,Findlay,579,Spain,Male,37,5,15221288,2,0,0,12021914,0
1288,15565701,Ferri,698,Spain,Female,39,9,16199389,1,0,0,9021238,0
1289,15597239,Ku,548,Spain,Male,39,7,13146844,1,1,0,16497582,0
1290,15688880,Amechi,672,Germany,Male,40,10,10298044,1,1,0,128581,1
1291,15813917,Kirk,653,Germany,Male,31,9,14332197,1,1,0,8367946,0
1292,15679611,Andrews,734,Spain,Female,37,2,13040492,1,0,0,3454874,0
1293,15636589,Murray,794,France,Female,41,7,0,2,1,1,7427508,0
1294,15687752,Griffin,641,France,Male,30,2,8750547,2,0,1,727857,0
1295,15584363,Longstaff,824,France,Male,30,0,13363402,1,1,1,16205392,0
1296,15737748,McWilliam,534,Spain,Female,33,3,15123362,1,0,0,19933663,0
1297,15803365,Coffee,653,Spain,Male,55,2,7026383,1,0,1,6234771,0
1298,15793247,Hancock,498,France,Male,34,5,0,2,1,1,9171166,0
1299,15572360,Clark,683,France,Male,30,10,5765749,1,0,0,792409,0
1300,15795166,Creswell,618,Germany,Male,42,8,15357231,2,1,1,766796,0
1301,15724620,Dodds,538,France,Male,37,1,13475208,1,1,0,16251155,0
1302,15800856,Ewen,643,Spain,Male,34,3,8313209,1,1,1,2136088,0
1303,15671097,Carter,428,France,Female,31,2,0,2,1,0,5448743,0
1304,15683930,Ch'iu,593,Germany,Female,32,9,13409653,2,1,0,5393105,1
1305,15749004,Tsao,718,France,Female,31,0,11810059,2,1,0,10316515,0
1306,15800434,Burgess,811,Germany,Male,52,10,769154,1,0,0,14635981,1
1307,15709117,Fanucci,823,Spain,Female,46,3,8157675,1,1,1,2837095,1
1308,15638806,Blackburn,645,Spain,Male,49,2,0,2,0,0,1002315,0
1309,15662294,Bennett,710,France,Male,33,10,11832717,2,1,1,19292882,0
1310,15690079,Boniwell,591,Spain,Male,30,8,12485769,2,0,0,504857,0
1311,15759317,Vasilieva,748,Germany,Female,27,2,9097185,1,1,1,13166247,0
1312,15750497,Longo,850,France,Female,37,7,15314775,1,1,1,1522353,0
1313,15596181,Kwemto,542,France,Male,38,8,6594226,1,1,1,6809323,1
1314,15576602,Lawrence,809,France,Male,38,3,0,2,1,1,8006131,0
1315,15644833,Duncan,675,France,Male,54,2,0,1,1,0,14958367,1
1316,15734634,Bocharova,607,Spain,Female,27,5,10091219,1,0,0,763127,0
1317,15808689,Morres,850,France,Female,31,4,0,2,1,1,3308281,0
1318,15720702,Shih,789,France,Male,37,3,0,1,1,0,12188387,1
1319,15665077,Vogel,598,France,Female,43,5,0,3,1,1,10072272,1
1320,15763612,T'an,756,Germany,Male,41,2,12443949,2,0,1,4709311,0
1321,15596493,Wisdom,687,France,Female,47,7,0,2,1,1,17762401,0
1322,15704483,Lorenzo,724,France,Male,40,6,0,2,0,0,10614948,0
1323,15598846,Shahan,700,France,Female,44,2,5878176,1,1,0,1687492,0
1324,15629244,Bryant,635,Spain,Male,50,7,15945364,2,0,0,5456079,1
1325,15765537,Liang,687,Germany,Male,26,2,14272152,1,1,1,15360575,0
1326,15729975,Chidozie,613,France,Female,46,8,1677956,1,0,1,4439038,0
1327,15682773,Hayward,781,France,Female,38,3,12834569,2,1,0,6321885,0
1328,15688007,Liu,703,Spain,Male,20,3,16526098,1,1,1,4162678,0
1329,15574331,Alexeeva,593,Germany,Female,62,3,11823381,1,0,1,2476553,1
1330,15645572,Calabresi,743,France,Female,40,6,0,1,1,0,282808,1
1331,15742854,Lettiere,640,Spain,Female,46,8,0,2,1,0,8904319,0
1332,15575417,Chou,849,Germany,Male,37,7,14345274,2,1,1,1729412,0
1333,15796721,Nnamutaezinwa,778,France,Male,38,3,14501849,2,1,1,12670241,0
1334,15734942,Nnamutaezinwa,539,Germany,Female,38,8,8240751,1,1,0,1312341,0
1335,15664772,Greece,489,Germany,Male,28,1,7946098,2,1,1,16797363,0
1336,15576683,Yin,568,Spain,Female,43,9,0,1,1,0,12587079,1
1337,15682563,Larionova,618,Spain,Male,38,5,12647399,1,1,0,9197249,0
1338,15650889,Golubev,710,Germany,Female,30,10,1335371,2,1,0,15559374,0
1339,15612108,Norman,625,France,Male,52,5,16497801,1,1,1,6778849,0
1340,15761132,Capon,682,Spain,Male,46,7,12802972,1,1,1,6261535,0
1341,15645511,Chukwudi,727,Spain,Male,43,2,9740318,1,1,1,10741502,1
1342,15609824,Fedorov,794,France,Female,41,7,17684541,3,1,0,16652626,1
1343,15640268,Avdeeva,652,Spain,Male,71,4,0,1,1,1,1201071,0
1344,15645778,Reid,670,Spain,Male,42,3,8158904,1,1,0,1882278,0
1345,15691104,Kennedy,460,Germany,Female,40,6,11950758,2,1,0,9156063,1
1346,15714567,Chan,568,Spain,Female,26,6,0,2,0,0,1664952,0
1347,15777826,Wofford,643,France,Male,30,5,9444377,1,1,1,1656144,0
1348,15668445,Mai,521,France,Male,37,2,0,2,1,1,8637224,0
1349,15576162,King,615,France,Male,32,7,9219984,1,1,1,275553,0
1350,15778135,T'ao,575,Spain,Male,43,3,0,1,1,0,8359451,0
1351,15613141,Hsu,717,France,Female,41,3,13575696,1,1,1,10370641,0
1352,15635435,White,648,France,Female,54,9,12063342,1,0,0,592438,1
1353,15596552,Stephens,535,Germany,Male,48,5,13454273,1,1,1,5820367,1
1354,15623644,Frolov,626,Spain,Male,29,7,0,2,1,0,4936184,0
1355,15683403,Lombardi,611,Spain,Male,52,7,0,1,0,1,7358518,1
1356,15615029,Munro,734,Spain,Male,39,6,0,1,1,1,9513527,0
1357,15769005,Hayward,709,France,Male,49,4,15434449,2,1,1,3879457,0
1358,15746326,Fields,591,France,Male,43,3,0,2,0,1,19892636,0
1359,15722364,Onwumelu,664,France,Male,43,9,18902653,2,1,1,5609986,0
1360,15704954,Suffolk,431,France,Male,37,0,12076408,1,1,1,11702308,0
1361,15694409,Tsao,647,Germany,Female,22,3,9797582,2,0,1,62083,0
1362,15754068,Judd,578,France,Male,32,4,0,2,1,1,1418228,0
1363,15683841,Hamilton,555,Germany,Male,41,10,1132702,2,1,1,18538714,0
1364,15789095,T'ang,775,Spain,Male,30,4,0,2,0,1,5746113,0
1365,15719958,Degtyarev,850,Germany,Male,39,3,12454899,2,1,1,12038012,0
1366,15689514,Kang,625,France,Male,43,8,20169607,1,1,0,1330209,1
1367,15621353,Hudson,645,Spain,Female,37,7,0,2,1,0,1358993,0
1368,15627232,Jibunoh,608,Germany,Male,44,7,11420347,1,1,1,7783036,1
1369,15745843,Kinlaw,689,Spain,Female,31,4,0,2,1,1,13661002,0
1370,15722902,Chizuoke,652,Germany,Male,50,8,12543764,1,1,1,1716094,1
1371,15791767,Lucciano,769,France,Female,26,7,0,2,1,0,17684353,0
1372,15792722,Omeokachie,611,France,Female,43,8,6489775,1,1,0,11499633,0
